CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
MLIMCEB 11 MLIMCE 2 426 422 444 276 22 300 275 1 1 80 30 0 RBS3206M S2C1 2
MLIMCEC 11 MLIMCE 3 425 421 444 275 23 300 275 1 1 80 10 0 RBS3206M S3C1 2
MLJVRTA 11 MLJVRT 1 344 340 428 230 88 320 92 1 1 60 30 0 RBS3206 S1C1 3
MLJVRTB 11 MLJVRT 2 344 340 428 230 88 320 92 1 1 60 40 0 RBS3206 S2C1 3
MLJVRTC 11 MLJVRT 3 344 340 428 230 88 320 92 1 1 60 60 0 RBS3206 S3C1 3
MOTOKA 11 MOTOK 1 395 391 429 270 38 310 187 1 1 60 30 0 RBS3202 S1C1 3
MOTOKB 11 MOTOK 2 395 391 429 270 38 310 187 1 1 60 20 0 RBS3202 S2C1 3
MPOBRA 11 MPOBR 1 420 416 428 296 12 310 93 1 1 60 20 0 RBS3206 S1C1 5
MPOBRB 11 MPOBR 2 420 416 428 296 12 310 93 1 1 60 20 0 RBS3206 S2C1 5
MPOBRC 11 MPOBR 3 420 416 428 296 12 310 93 1 1 60 50 0 RBS3206 S3C1 5
MPOBRD 11 MPOBR 1 420 416 428 301 12 315 93 1 1 60 20 0 RBS3206 S1C2 5
MPOBRE 11 MPOBR 2 420 416 428 301 12 315 93 1 1 60 20 0 RBS3206 S2C2 5
MPOBRF 11 MPOBR 3 420 416 428 301 12 315 93 1 1 60 50 0 RBS3206 S3C2 5
MPOCEHA 11 MPOCEH 1 404 400 423 275 23 300 105 1 1 60 0 0 RBS3202 S1C1 5
MPOCEHB 11 MPOCEH 2 404 400 423 285 23 310 105 1 1 60 0 0 RBS3202 S2C1 5
MPOCEHC 11 MPOCEH 3 404 400 423 265 23 290 105 1 1 60 10 0 RBS3202 S3C1 5
MPOSTAA 11 MPOSTA 1 411 407 428 277 21 300 103 1 1 60 20 0 RBS3206M S1C1 5
MPOSTAB 11 MPOSTA 2 411 407 428 267 21 290 103 1 1 60 60 0 RBS3206M S2C1 5
