cell rnc site sec maxpwr(rnc) zaresmoc(rbs) zaresmoc+kabel+asc pilot kabel pilot+kabel rbsid asc ret maxtilt tilt mechanical bazna sect antena pildbpa
AFORDB 21 AFORD 2 416 412 446 266 32 300 113 1 1 80 30 0 RBS3206 S2C1 2 146
AFORDC 21 AFORD 3 416 412 446 256 32 290 113 1 1 80 20 0 RBS3206 S3C1 2 156
AFORDD 21 AFORD 1 416 412 446 266 32 300 113 1 1 80 30 0 RBS3206 S1C2 2 146
AFORDE 21 AFORD 2 416 412 446 276 32 310 113 1 1 80 30 0 RBS3206 S2C2 2 136
AFORDF 21 AFORD 3 416 412 446 266 32 300 113 1 1 80 20 0 RBS3206 S3C2 2 146
AFRANKA 21 AFRANK 1 427 422 446 276 22 300 5 1 1 80 30 0 RBS3206 S1C1 2 146
AFRANKB 21 AFRANK 2 427 422 446 266 22 290 5 1 1 80 30 0 RBS3206 S2C1 2 156
AFRANKC 21 AFRANK 3 427 422 446 276 22 300 5 1 1 80 40 0 RBS3206 S3C1 2 146
AFRANKD 21 AFRANK 1 427 422 446 286 22 310 5 1 1 80 30 0 RBS3206 S1C2 2 136
AFRANKE 21 AFRANK 2 427 422 446 276 22 300 5 1 1 80 30 0 RBS3206 S2C2 2 146
AFRANKF 21 AFRANK 3 427 422 446 291 22 315 5 1 1 80 40 0 RBS3206 S3C2 2 131
AFUZINA 21 AFUZIN 1 433 429 446 283 15 300 18 1 1 60 40 0 RBS3206 S1C1 5 146
AFUZINB 21 AFUZIN 2 433 429 446 283 15 300 18 1 1 60 40 0 RBS3206 S2C1 5 146
AFUZINC 21 AFUZIN 3 433 429 446 283 15 300 18 1 1 60 30 0 RBS3206 S3C1 5 146
AFUZIND 21 AFUZIN 1 436 431 448 293 15 310 18 1 1 60 40 0 RBS3206 S1C2 5 138
AFUZINE 21 AFUZIN 2 436 431 448 293 15 310 18 1 1 60 40 0 RBS3206 S2C2 5 138
AFUZINF 21 AFUZIN 3 436 431 448 293 15 310 18 1 1 60 30 0 RBS3206 S3C2 5 138
AGAMGDA 21 AGAMGD 1 399 395 425 270 28 300 187 1 1 80 30 0 RBS3202 S1C1 2 125
AGAMGDB 21 AGAMGD 2 399 395 425 270 28 300 187 1 1 80 40 0 RBS3202 S2C1 2 125
AGAMGDC 21 AGAMGD 3 399 395 425 270 28 300 187 1 1 80 40 0 RBS3202 S3C1 2 125
AGEOPLA 21 AGEOPL 1 404 400 430 250 28 280 62 1 1 80 30 0 RBS6201V2W S1C1 2 150
AGEOPLB 21 AGEOPL 2 405 401 430 261 27 290 62 1 1 80 30 0 RBS6201V2W S2C1 2 140
AGEOPLC 21 AGEOPL 3 406 401 430 281 27 310 62 1 1 80 30 0 RBS6201V2W S3C1 2 120
AGEOPLD 21 AGEOPL 1 404 400 430 260 28 290 62 1 1 80 30 0 RBS6201V2W S1C2 2 140
AGEOPLE 21 AGEOPL 2 405 401 430 271 27 300 62 1 1 80 30 0 RBS6201V2W S2C2 2 130
AGEOPLF 21 AGEOPL 3 405 401 430 271 27 300 62 1 1 80 30 0 RBS6201V2W S3C2 2 130
AGOLOVA 21 AGOLOV 1 417 412 425 287 11 300 189 1 0 60 0 0 RBS3202 S1C1 5 125
AGPGA 21 AGPG 1 422 417 433 274 14 290 72 1 1 60 20 0 RBS3202 S1C1 5 143
AGPGB 21 AGPG 2 422 417 433 274 14 290 72 1 1 60 20 0 RBS3202 S2C1 5 143
AGPGC 21 AGPG 3 425 420 433 297 13 310 72 0 0 60 0 0 RBS3202 S3C1 5 123
AGPGD 21 AGPG 1 412 407 423 284 14 300 72 1 1 60 20 0 RBS3202 S1C2 5 123
AGPGE 21 AGPG 2 412 407 423 284 14 300 72 1 1 60 20 0 RBS3202 S2C2 5 123
AGPGF 21 AGPG 3 415 410 423 302 13 315 72 0 0 60 0 0 RBS3202 S3C2 5 108
AGRA 21 AGR 1 394 390 390 260 0 260 207 0 0 100 0 0 RBS3402 S1C1 1 130
AGRADA 21 AGRAD 1 420 416 448 268 30 300 19 1 1 60 30 0 RBS3206 S1C1 5 148
AGRADB 21 AGRAD 2 420 416 448 268 30 300 19 1 1 60 30 0 RBS3206 S2C1 5 148
AGRADC 21 AGRAD 3 420 416 448 258 30 290 19 1 1 60 30 0 RBS3206 S3C1 5 158
AGRADD 21 AGRAD 1 418 414 446 278 30 310 19 1 1 60 30 0 RBS3206 S1C2 5 136
AGRADE 21 AGRAD 2 418 414 446 278 30 310 19 1 1 60 30 0 RBS3206 S2C2 5 136
AGRADF 21 AGRAD 3 418 414 446 268 30 300 19 1 1 60 30 0 RBS3206 S3C2 5 146
AGRAMA 21 AGRAM 1 421 417 448 259 29 290 56 1 1 60 20 0 RBS3206 S1C1 5 158
AGRAMB 21 AGRAM 2 421 417 448 259 29 290 56 1 1 60 30 0 RBS3206 S2C1 5 158
AGRAMC 21 AGRAM 3 421 417 448 269 29 300 56 1 1 60 10 0 RBS3206 S3C1 5 148
AGRAMD 21 AGRAM 1 422 417 448 269 29 300 56 1 1 60 20 0 RBS3206 S1C2 5 148
AGRAME 21 AGRAM 2 422 417 448 269 29 300 56 1 1 60 30 0 RBS3206 S2C2 5 148
AGRAMF 21 AGRAM 3 422 417 448 279 29 310 56 1 1 60 10 0 RBS3206 S3C2 5 138
AGRB 21 AGR 2 394 390 390 260 0 260 207 0 0 100 0 0 RBS3402 S2C1 1 130
AGRC 21 AGR 3 376 372 390 242 18 260 207 0 0 100 0 0 RBS3402 S3C1 1 130
AGRICA 21 AGRIC 1 422 418 448 260 28 290 208 1 1 60 40 0 RBS3206 S1C1 3 158
AGRICB 21 AGRIC 2 422 418 448 260 28 290 208 1 1 80 30 0 RBS3206 S2C1 2 158
