CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
CLAVAD 11 CLAVA 1 408 404 428 274 24 300 108 1 1 60 20 0 RBS3107 S1C2 3
CLAVAE 11 CLAVA 2 408 404 428 274 24 300 108 1 1 60 40 0 RBS3107 S2C2 3
CLAVAF 11 CLAVA 3 408 404 428 274 24 300 108 1 1 60 10 0 RBS3107 S3C2 3
CLEVECA 11 CLEVEC 1 393 389 420 267 31 300 300 1 1 60 30 0 RBS3202 S1C1 3
CLEVECB 11 CLEVEC 2 402 398 429 267 31 300 300 1 1 60 30 0 RBS3202 S2C1 5
CLJUBA 11 CLJUB 1 408 404 423 279 19 300 147 1 0 60 0 0 RBS3202 S1C1 3
CLJUBB 11 CLJUB 2 408 404 423 289 19 310 147 1 0 60 0 0 RBS3202 S2C1 3
CLOCICA 11 CLOCIC 1 406 402 428 302 26 330 194 1 1 60 0 0 RBS3206M S1C1 5
CLOCICB 11 CLOCIC 2 406 402 428 282 26 310 194 1 1 60 10 0 RBS3206M S2C1 5
CLOCICC 11 CLOCIC 3 406 402 428 302 26 330 194 1 1 60 0 0 RBS3206M S3C1 5
CLOCICD 11 CLOCIC 1 406 402 428 302 26 330 194 1 1 60 0 0 RBS3206M S1C2 5
CLOCICE 11 CLOCIC 2 406 402 428 282 26 310 194 1 1 60 10 0 RBS3206M S2C2 5
CLOCICF 11 CLOCIC 3 406 402 428 302 26 330 194 1 1 60 0 0 RBS3206M S3C2 5
CLOGARA 11 CLOGAR 1 396 392 423 277 31 310 84 1 0 60 0 0 RBS3202 S1C1 5
CLOGARB 11 CLOGAR 2 396 392 423 277 31 310 84 1 0 60 0 0 RBS3202 S2C1 5
CLOZNIA 11 CLOZNI 1 408 404 429 273 25 300 169 1 1 80 20 0 RBS3202 S1C1 2
CLOZNIB 11 CLOZNI 2 408 404 429 273 25 300 169 1 1 80 40 0 RBS3202 S2C1 2
CLOZNIC 11 CLOZNI 3 408 404 429 273 25 300 169 1 1 80 20 0 RBS3202 S3C1 2
CMOZITA 11 CMOZIT 1 396 392 423 277 31 310 133 1 0 80 0 0 RBS3202 S1C1 2
CMOZITB 11 CMOZIT 2 396 392 423 277 31 310 133 1 0 80 0 0 RBS3202 S2C1 2
CMOZITC 11 CMOZIT 3 396 392 423 277 31 310 133 1 0 80 0 0 RBS3202 S3C1 2
CNAZARA 11 CNAZAR 1 399 395 423 280 28 310 216 1 0 60 0 0 RBS3202 S1C1 3
CNAZARB 11 CNAZAR 2 399 395 423 280 28 310 216 1 0 60 0 0 RBS3202 S2C1 3
CNAZARC 11 CNAZAR 3 399 395 423 280 28 310 216 1 0 60 0 0 RBS3202 S3C1 3
CNOVAVA 11 CNOVAV 1 395 391 423 276 32 310 244 1 1 60 30 0 RBS3202 S1C1 3
CNOVAVB 11 CNOVAV 2 395 391 423 266 32 300 244 1 1 60 30 0 RBS3202 S2C1 3
CNOVAVC 11 CNOVAV 3 403 399 431 266 32 300 244 1 1 60 0 0 RBS3202 S3C1 3
COBCINA 11 COBCIN 1 410 406 429 275 23 300 299 1 1 60 60 0 RBS3202 S1C1 3
COBCINB 11 COBCIN 2 411 407 429 276 22 300 299 1 1 60 60 0 RBS3202 S2C1 3
COBCINC 11 COBCIN 3 410 406 429 275 23 300 299 1 1 60 40 0 RBS3202 S3C1 3
COSTRGA 11 COSTRG 1 400 396 423 261 27 290 137 1 1 80 30 0 RBS3202 S1C1 2
COSTRGB 11 COSTRG 2 400 396 423 261 27 290 137 1 1 80 20 0 RBS3202 S2C1 2
COSTRGC 11 COSTRG 3 400 396 423 271 27 300 137 1 1 80 20 0 RBS3202 S3C1 2
COSTROA 11 COSTRO 1 405 401 423 276 22 300 232 1 0 80 0 0 RBS3202 S1C1 2
COSTROB 11 COSTRO 2 405 401 423 276 22 300 232 1 0 80 0 0 RBS3202 S2C1 2
COSTROC 11 COSTRO 3 413 409 431 276 22 300 232 1 0 80 0 0 RBS3202 S3C1 2
CPETROA 11 CPETRO 1 426 422 444 276 22 300 153 1 1 60 20 0 RBS3206M S1C1 5
CPETROB 11 CPETRO 2 426 422 444 276 22 300 153 1 1 60 20 0 RBS3206M S2C1 5
CPETROC 11 CPETRO 3 426 422 444 276 22 300 153 1 1 60 20 0 RBS3206M S3C1 5
CPLETOA 11 CPLETO 1 404 400 431 279 31 312 77 0 0 60 0 0 RBS3202 S1C1 3
CPOLZA 11 CPOLZ 1 401 397 423 282 26 310 126 1 0 80 0 0 RBS3202 S1C1 2
CPOLZB 11 CPOLZ 2 401 397 423 282 26 310 126 1 0 80 0 0 RBS3202 S2C1 2
CPOLZC 11 CPOLZ 3 401 397 423 282 26 310 126 1 0 80 0 0 RBS3202 S3C1 2
CPOSTAA 11 CPOSTA 1 411 407 423 282 16 300 118 1 1 60 10 0 RBS3202 S1C1 5
CPOSTAB 11 CPOSTA 2 407 403 425 268 22 292 118 0 0 60 0 0 RBS3202 S2C1 5
CPOSTAC 11 CPOSTA 3 407 403 425 268 22 292 118 0 0 60 0 0 RBS3202 S3C1 5
CPREBOA 11 CPREBO 1 386 382 423 267 41 310 123 1 0 60 0 0 RBS3202 S1C1 5
CPREBOB 11 CPREBO 2 387 383 423 268 40 310 123 1 0 60 0 0 RBS3202 S2C1 5
CPREBOC 11 CPREBO 3 388 384 423 269 39 310 123 1 0 60 0 0 RBS3202 S3C1 5
CROGASA 11 CROGAS 1 399 395 423 280 28 310 190 1 0 80 0 0 RBS3202 S1C1 4
CROGASB 11 CROGAS 2 399 395 423 280 28 310 190 1 0 80 0 0 RBS3202 S2C1 2
CROGSIA 11 CROGSI 1 400 396 429 275 33 310 324 1 0 60 0 0 RBS3202 S1C1 5
CROGSIB 11 CROGSI 2 400 396 429 265 33 300 324 1 0 60 0 0 RBS3202 S2C1 5
CROGSIC 11 CROGSI 3 400 396 429 265 33 300 324 1 0 60 0 0 RBS3202 S3C1 5
CROGSLA 11 CROGSL 1 404 400 423 285 23 310 29 1 0 60 0 0 RBS3202 S1C1 3
CROGSLB 11 CROGSL 2 404 400 423 285 23 310 29 1 0 60 0 0 RBS3202 S2C1 3
CROGSLC 11 CROGSL 3 404 400 423 285 23 310 29 1 0 60 0 0 RBS3202 S3C1 3
CROGTVA 11 CROGTV 1 413 409 429 288 20 310 301 1 0 60 0 0 RBS3202 S1C1 3
CSEJEMA 11 CSEJEM 1 373 370 393 265 23 290 119 1 1 60 20 0 RBS3202 S1C1 3
CSEJEMB 11 CSEJEM 2 373 370 393 265 23 290 119 1 1 60 20 0 RBS3202 S2C1 3
CSEJEMC 11 CSEJEM 3 373 370 393 265 23 290 119 1 1 60 10 0 RBS3202 S3C1 3
CSEJEMD 11 CSEJEM 1 373 369 392 275 23 300 119 1 1 60 20 0 RBS3202 S1C2 3
CSEJEME 11 CSEJEM 2 373 369 392 275 23 300 119 1 1 60 20 0 RBS3202 S2C2 3
CSEJEMF 11 CSEJEM 3 373 369 392 275 23 300 119 1 1 60 10 0 RBS3202 S3C2 3
CSEMPA 11 CSEMP 1 397 393 423 278 30 310 112 1 1 60 30 0 RBS3202 S1C1 5
CSEMPB 11 CSEMP 2 397 393 423 278 30 310 112 1 1 60 10 0 RBS3202 S2C1 3
CSEMPC 11 CSEMP 3 397 393 423 278 30 310 112 1 1 60 20 0 RBS3202 S3C1 5
CSENTA 11 CSENT 1 404 400 431 277 31 310 72 1 0 60 0 0 RBS3202 S1C1 3
CSENTB 11 CSENT 2 396 392 423 267 31 300 72 1 0 60 0 0 RBS3202 S2C1 3
CSENTC 11 CSENT 3 396 392 423 267 31 300 72 1 0 60 0 0 RBS3202 S3C1 3
CSKOFJA 11 CSKOFJ 1 393 389 423 264 34 300 163 1 1 60 20 0 RBS3202 S1C1 3
CSKOFJB 11 CSKOFJ 2 393 389 423 264 34 300 163 1 1 60 20 0 RBS3202 S2C1 3
CSKOFJC 11 CSKOFJ 3 393 389 423 264 34 300 163 1 1 60 30 0 RBS3202 S3C1 3
